Countries,Years,Value
AUS,2016,69.50249
AUS,2017,66.81764
AUS,2018,67.22527
AUS,2019,77.28802
AUS,2020,93.03608
AUT,2016,102.5335
AUT,2017,96.27682
AUT,2018,90.80019
AUT,2019,89.13332
AUT,2020,107.3411
BEL,2016,127.6686
BEL,2017,120.8399
BEL,2018,117.8062
BEL,2019,119.7289
BEL,2020,140.6437
CAN,2016,114.1487
CAN,2017,108.5559
CAN,2018,107.3827
CAN,2019,106.6808
CAN,2020,141.5822
CZE,2016,47.43294
CZE,2017,43.32781
CZE,2018,39.73836
CZE,2019,37.46101
CZE,2020,46.64058
DNK,2016,51.5063
DNK,2017,48.98525
DNK,2018,47.18268
DNK,2019,48.12441
DNK,2020,58.1479
FIN,2016,75.60892
FIN,2017,73.04077
FIN,2018,69.94621
FIN,2019,69.84094
FIN,2020,82.06623
FRA,2016,123.6707
FRA,2017,122.9442
FRA,2018,120.7452
FRA,2019,123.088
FRA,2020,145.808
DEU,2016,76.96603
DEU,2017,72.35247
DEU,2018,69.07214
DEU,2019,67.50011
DEU,2020,78.66212
GRC,2016,188.9455
GRC,2017,192.998
GRC,2018,199.3591
GRC,2019,200.8777
GRC,2020,237.6102
HUN,2016,98.65585
HUN,2017,93.2094
HUN,2018,86.86361
HUN,2019,84.07797
HUN,2020,98.0555
IRL,2016,85.23203
IRL,2017,76.69709
IRL,2018,74.61259
IRL,2019,68.83617
IRL,2020,71.58207
ITA,2016,154.551
ITA,2017,152.0244
ITA,2018,146.8379
ITA,2019,154.2341
ITA,2020,183.8702
JPN,2016,231.3763
JPN,2017,230.305
JPN,2018,234.3394
JPN,2019,233.3859
JPN,2020,256.851
KOR,2016,51.61334
KOR,2017,49.43649
KOR,2018,50.41999
KOR,2019,52.6506
KOR,2020,58.76943
LUX,2016,27.20946
LUX,2017,28.96187
LUX,2018,28.67122
LUX,2019,30.29885
LUX,2020,32.61319
MEX,2016,52.84832
MEX,2017,53.22276
MEX,2018,55.78449
MEX,2019,59.27055
NLD,2016,77.69183
NLD,2017,70.92296
NLD,2018,66.0714
NLD,2019,62.30612
NLD,2020,69.76221
NOR,2016,44.2576
NOR,2017,44.66471
NOR,2018,45.34084
NOR,2019,46.73798
NOR,2020,53.39824
POL,2016,73.00561
POL,2017,68.71675
POL,2018,66.76117
POL,2019,63.37453
POL,2020,77.78653
PRT,2016,144.3118
PRT,2017,143.1314
PRT,2018,137.2647
PRT,2019,135.6317
PRT,2020,157.1208
SVK,2016,67.77117
SVK,2017,65.51965
SVK,2018,63.33213
SVK,2019,63.03254
SVK,2020,78.74482
ESP,2016,117.3305
ESP,2017,115.7774
ESP,2018,114.5979
ESP,2019,117.7095
ESP,2020,147.5002
SWE,2016,61.91961
SWE,2017,60.09251
SWE,2018,59.19869
SWE,2019,55.88184
SWE,2020,62.86353
CHE,2016,41.18677
CHE,2017,41.89757
CHE,2018,39.75675
CHE,2019,40.98116
CHE,2020,43.79662
TUR,2016,34.35389
TUR,2017,32.27594
TUR,2018,32.27837
TUR,2019,35.18266
TUR,2020,42.98997
GBR,2016,118.4909
GBR,2017,119.1195
GBR,2018,115.6084
GBR,2019,118.4764
GBR,2020,154.3119
USA,2016,138.6864
USA,2017,135.3957
USA,2018,137.3338
USA,2019,135.8913
USA,2020,161.3746
CHL,2016,28.09989
CHL,2017,29.06645
CHL,2018,31.81245
CHL,2019,37.77597
CHL,2020,43.82093
EST,2016,13.69603
EST,2017,13.14404
EST,2018,13.03409
EST,2019,13.6058
EST,2020,24.82139
ISR,2016,75.6786
ISR,2017,72.2389
ISR,2018,70.88639
ISR,2019,73.15871
SVN,2016,97.20789
SVN,2017,89.43223
SVN,2018,83.44844
SVN,2019,81.34025
SVN,2020,100.2493
LVA,2016,50.29694
LVA,2017,47.60893
LVA,2018,46.29624
LVA,2019,47.51165
LVA,2020,55.28791
COL,2016,73.09144
COL,2017,75.18874
COL,2018,88.96687
COL,2019,82.77155
LTU,2016,50.93634
LTU,2017,47.07026
LTU,2018,40.82228
LTU,2019,44.54394
LTU,2020,55.4529
NZL,2016,54.44
NZL,2017,52.96
NZL,2018,53.05
NZL,2019,55.33
BRA,2016,98.44
BRA,2017,104.21
CHN,2016,48.24
CHN,2017,51.73
CHN,2018,53.85
CHN,2019,57.05
CRI,2016,44.05
CRI,2017,47.06
CRI,2018,51.91
CRI,2019,56.84
IND,2016,68.71
IND,2017,69.46
IND,2018,70.24
IND,2019,73.89
IND,2020,89.56
IDN,2016,27.96
IDN,2017,29.4
IDN,2018,30.42
IDN,2019,30.56
IDN,2020,36.62
ROU,2016,48.28
ROU,2017,45.05
ROU,2018,43.61
ROU,2019,44.36
ROU,2020,59.25
RUS,2016,18.56
RUS,2017,21.55
RUS,2018,20.81
RUS,2019,21.67
ZAF,2016,51.47
ZAF,2017,53.02
ZAF,2018,56.71
ZAF,2019,62.15
ZAF,2020,77.06
OAVG,2016,83.68
OAVG,2017,81.14
OAVG,2018,79.36
OAVG,2019,79.85
OECD,2016,111.2
OECD,2017,109
OECD,2018,108.17
OECD,2019,109.21
